component_name,N,lookback_median,lookback_25p,lookback_75p,age_median,age_25p,age_75p
MS_INPATIENT_1,< 5,17,17,17,28,27,28
MS_INPATIENT_2,< 5,17,17,17,29,29,29
MS_1,8,14.8,10,17,37,28,44
MS_2,5,10.1,9.8,17,37,29,40
MS_4,< 5,17,13.5,17,29,28,34
MS_5,< 5,13.5,11.8,15.3,34,32,37
MS_LONGTERM_1,< 5,11.3,9.9,13.7,42,38,46
MS_LONGTERM_2,< 5,10.1,10.1,10.1,40,40,40
MS_UNSPEC_DMT_1,< 5,17,13.1,17,44,40,46
MS_UNSPEC_DMT_2,< 5,13.1,11.2,15,46,45,48
MS_3,< 5,13.1,11.2,15,44,41,46
MS_UNSPEC_DMT_3,< 5,17,17,17,45,45,45
MS_UNSPEC_DMT_4,< 5,17,17,17,45,45,45
MS_SPEC_DMT_1,< 5,17,13.4,17,37,27,40
MS_SPEC_DMT_2,< 5,13.4,11.6,15.2,28,23,33
MS_SPEC_DMT_3,< 5,17,17,17,38,38,38
MS_SPEC_DMT_4,< 5,17,17,17,38,38,38
Study population,432,12.6,7.2,17,27,18,36
