"file" "checksum"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/00_index.xlsx" "8ec727fc33aae0b77120bba343bb8576"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_algorithms_MS.xlsx" "d66ded5316ce23d9b4927a5ef85b9005"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_algorithms_multiple_lookback_MS.xlsx" "f5ae11d2bd1da2263a31187a0988328b"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_components_MS_SAP1.xlsx" "a567d2d48521b17de995e1d214eead77"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_components_multiple_lookback.xlsx" "dac0004d0576c4051208dfa9397b3c87"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_DU_PREGNANCY_COHORT_variables.xlsx" "ee9278e161a02df84c1115a31785e273"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_DU_selection_criteria_from_pregnancies_to_DU_PREGNANCY_COHORT.xlsx" "e8885bcd2191f512509e432c70b563ad"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_DU_selection_criteria_from_SAP1_MS_cohort_to_DU_MS_cohort.xlsx" "489215b8dead030862fc6323fa885740"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_matched_SAP2_MS_pregnancy.xlsx" "9cd79c6b9752c944eeba0b75895f4c49"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_output_spells_category.xlsx" "0d39ec1aaf17aa9fe5ad9f90fb7e3987"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_persons.xlsx" "5b59ba2d1b753b9837f23e10768fc62d"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_prevalence_of_use_drugs_in_pregnancy_cohort.xlsx" "261f5b8ce92f362635ec4e0141582db4"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_prevalence_women_of_childbearing_age.xlsx" "78a546eb6237777ec1ed22fb2140262b"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_SAP1_MS_COHORT.xlsx" "e9a25c55d54bc104171ab0dff3fb7aab"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_selection_criteria_to_study_population.xlsx" "c0f56758fba166091f8e94da54965eca"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_selection_criteria_to_study_population_SAP2_MS_childbearing_age.xlsx" "bb97b6bec95230601a736287c80b923f"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_selection_criteria_to_study_population_SAP2_pregnancy.xlsx" "ae21210bde7bd485640200ce24057586"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_study_population_SAP1.xlsx" "1efd6fed0b07a9c65ab2c03a3517f530"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_study_population_SAP1_MS.xlsx" "7413516b9e5cfbe70bb8208c1c8ad026"
"C:/Users/Davide/Documents/Git repositories/Work/DP3-MS-SLE/i_codebooks/D3_study_population_SAP2_MS_childbearing_age.xlsx" "33d394c5581df79abe8354617bf75620"
